word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
stab;9554;3.45;21.317;--;--;--;3206
confined;9555;3.44;17.398;--;3169;--;--
delays;9556;3.44;11.457;4978;--;--;--
deny;9557;3.44;13.874;--;3671;4695;1173
fault;9558;3.44;12.961;1474;3196;--;1653
forgot;9559;3.44;14.165;828;--;--;1459
ghetto;9560;3.44;16.922;4575;--;--;954
litigation;9561;3.44;15.928;--;--;3707;--
poop;9562;3.44;17.162;4757;--;--;--
seized;9563;3.44;14.591;--;3971;4543;--
zero;9564;3.44;16.433;2911;2424;--;2671
cage;9565;3.44;19.776;--;--;--;2205
disappeared;9566;3.44;17.734;--;3763;--;3995
trap;9567;3.44;18.324;--;--;--;2664
diss;9568;3.43;18.819;--;--;--;3596
foes;9569;3.43;13.229;--;--;--;4735
smashed;9570;3.42;17.443;--;--;--;4963
anxious;9571;3.42;16.671;4242;3220;--;--
can't;9572;3.42;0.9708;--;--;--;--
cut;9573;3.42;12.950;437;788;711;513
erroneous;9574;3.42;11.968;--;--;3094;--
gangsta;9575;3.42;18.962;--;--;--;1130
gone;9576;3.42;17.390;541;960;1192;142
ignorant;9577;3.42;18.745;--;4687;--;--
invasion;9578;3.42;20.212;--;3775;4752;--
lame;9579;3.42;14.299;1616;--;--;2826
obsessed;9580;3.42;14.721;3347;--;--;--
raging;9581;3.42;16.424;--;--;--;3304
shatter;9582;3.42;18.193;--;--;--;4342
shouting;9583;3.42;16.047;--;--;--;4398
troubles;9584;3.42;21.485;--;--;--;1869
disturbed;9585;3.41;15.932;--;4965;--;--
zit;9586;3.41;16.447;--;--;--;4812
against;9587;3.4;12.289;708;145;160;672
condolences;9588;3.4;18.844;--;--;914;--
muthafucka;9589;3.4;21.946;--;--;--;3342
separated;9590;3.4;13.248;--;2483;--;--
struggle;9591;3.4;17.496;--;1572;1442;1914
whores;9592;3.4;22.946;--;--;--;4275
deception;9593;3.39;18.007;--;--;--;4911
stain;9594;3.39;13.357;--;--;--;3531
unconscious;9595;3.39;15.113;--;4213;--;--
delay;9596;3.38;13.231;4086;2934;2431;--
difficulty;9597;3.38;12.271;--;1378;4922;--
discontinued;9598;3.38;14.553;--;--;1009;--
eliminated;9599;3.38;16.890;--;--;4289;--
haunting;9600;3.38;17.366;--;--;--;3391
hungry;9601;3.38;19.261;516;--;--;1305
refused;9602;3.38;14.553;--;1995;1861;--
wicked;9603;3.38;19.472;2147;--;--;1327
blinded;9604;3.37;15.771;--;--;--;2575
hunger;9605;3.37;19.968;--;--;--;2195
torn;9606;3.37;14.676;--;--;--;1407
phony;9607;3.36;19.137;--;--;--;4751
argued;9608;3.36;14.675;--;2294;2350;--
beast;9609;3.36;15.221;1959;--;--;1828
